Year,Month,Inflation
1954,1,3.171
1954,2,2.25
1954,3,-2.635
1954,4,-3.075
1954,5,3.173
1954,6,0.447
1954,7,-3.506
1954,8,-0.446
1954,9,-1.773
1954,10,-3.955
1954,11,2.728
1954,12,-0.447
1955,1,0
1955,2,2.264
1955,3,-1.334
1955,4,0
1955,5,-0.892
1955,6,-2.657
1955,7,2.27
1955,8,-1.779
1955,9,5.997
1955,10,-1.333
1955,11,2.718
1955,12,-0.446
1956,1,-1.772
1956,2,1.35
1956,3,1.349
1956,4,1.8
1956,5,4.548
1956,6,5.459
1956,7,6.366
1956,8,0.883
1956,9,1.772
1956,10,7.25
1956,11,0
1956,12,5.362
1957,1,1.751
1957,2,5.786
1957,3,2.621
1957,4,3.057
1957,5,3.049
1957,6,4.817
1957,7,3.469
1957,8,3.899
1957,9,1.711
1957,10,0
1957,11,3.881
1957,12,2.564
1958,1,7.406
1958,2,2.543
1958,3,7.344
1958,4,2.949
1958,5,0
1958,6,-1.237
1958,7,-0.827
1958,8,2.097
1958,9,-1.237
1958,10,0
1958,11,1.673
1958,12,0.832
1959,1,1.67
1959,2,-0.413
1959,3,-1.234
1959,4,0.415
1959,5,2.513
1959,6,2.931
1959,7,1.661
1959,8,1.242
1959,9,2.917
1959,10,4.181
1959,11,0
1959,12,2.481
1960,1,-1.62
1960,2,1.647
1960,3,0
1960,4,5.435
1960,5,1.226
1960,6,1.635
1960,7,-2.405
1960,8,2.464
1960,9,0
1960,10,5.824
1960,11,1.217
1960,12,1.216
1961,1,1.214
1961,2,0
1961,3,0
1961,4,-1.2
1961,5,1.214
1961,6,0
1961,7,3.265
1961,8,0.805
1961,9,1.615
1961,10,0
1961,11,0
1961,12,1.207
1962,1,1.206
1962,2,2.832
1962,3,2.418
1962,4,1.603
1962,5,1.198
1962,6,-1.184
1962,7,0.398
1962,8,2.409
1962,9,5.692
1962,10,-1.567
1962,11,0
1962,12,0
1963,1,2.396
1963,2,1.588
1963,3,1.188
1963,4,-1.174
1963,5,1.188
1963,6,4.005
1963,7,3.182
1963,8,2.371
1963,9,-1.164
1963,10,1.178
1963,11,1.177
1963,12,3.969
1964,1,2.357
1964,2,-1.157
1964,3,1.171
1964,4,0.389
1964,5,1.169
1964,6,1.168
1964,7,0.388
1964,8,1.167
1964,9,1.166
1964,10,1.555
1964,11,3.526
1964,12,1.549
1965,1,1.158
1965,2,0
1965,3,1.157
1965,4,2.716
1965,5,3.892
1965,6,5.07
1965,7,-1.133
1965,8,-1.134
1965,9,2.695
1965,10,1.144
1965,11,3.858
1965,12,3.846
1966,1,1.136
1966,2,7.793
1966,3,3.805
1966,4,3.793
1966,5,2.633
1966,6,1.119
1966,7,2.625
1966,8,7.652
1966,9,3.738
1966,10,3.726
1966,11,1.101
1966,12,1.47
1967,1,-0.727
1967,2,3.709
1967,3,0
1967,4,3.698
1967,5,0
1967,6,7.497
1967,7,3.664
1967,8,3.653
1967,9,3.641
1967,10,3.63
1967,11,7.359
1967,12,3.598
1968,1,3.587
1968,2,3.576
1968,3,3.566
1968,4,3.555
1968,5,3.545
1968,6,7.183
1968,7,7.14
1968,8,3.493
1968,9,3.483
1968,10,7.056
1968,11,3.453
1968,12,6.994
1969,1,3.423
1969,2,3.414
1969,3,10.533
1969,4,6.855
1969,5,3.356
1969,6,6.796
1969,7,6.758
1969,8,3.31
1969,9,6.701
1969,10,6.664
1969,11,6.628
1969,12,6.591
1970,1,6.555
1970,2,6.52
1970,3,6.484
1970,4,6.449
1970,5,3.162
1970,6,6.398
1970,7,3.137
1970,8,3.129
1970,9,6.33
1970,10,6.297
1970,11,6.264
1970,12,6.232
1971,1,3.057
1971,2,0
1971,3,3.049
1971,4,3.042
1971,5,6.152
1971,6,6.121
1971,7,3.004
1971,8,2.996
1971,9,2.989
1971,10,2.981
1971,11,2.974
1971,12,2.966
1972,1,2.959
1972,2,5.983
1972,3,0
1972,4,2.937
1972,5,2.93
1972,6,2.923
1972,7,2.916
1972,8,2.909
1972,9,5.881
1972,10,2.888
1972,11,5.838
1972,12,2.867
1973,1,5.796
1973,2,8.764
1973,3,11.752
1973,4,8.618
1973,5,5.632
1973,6,8.516
1973,7,0
1973,8,24.017
1973,9,5.466
1973,10,11.152
1973,11,8.187
1973,12,10.974
1974,1,13.757
1974,2,13.601
1974,3,13.449
1974,4,7.797
1974,5,13.212
1974,6,10.336
1974,7,7.599
1974,8,15.623
1974,9,18.195
1974,10,9.91
1974,11,12.42
1974,12,9.729
1975,1,9.651
1975,2,7.105
1975,3,4.659
1975,4,4.641
1975,5,2.288
1975,6,9.424
1975,7,11.81
1975,8,4.536
1975,9,9.225
1975,10,6.796
1975,11,9.102
1975,12,6.708
1976,1,4.403
1976,2,2.172
1976,3,2.168
1976,4,2.164
1976,5,6.609
1976,6,6.573
1976,7,6.537
1976,8,6.502
1976,9,6.467
1976,10,6.432
1976,11,4.225
1976,12,6.375
1977,1,6.342
1977,2,12.979
1977,3,6.243
1977,4,8.358
1977,5,4.074
1977,6,6.147
1977,7,6.115
1977,8,6.084
1977,9,3.999
1977,10,6.033
1977,11,8.077
1977,12,5.963
1978,1,7.983
1978,2,5.895
1978,3,7.891
1978,4,9.885
1978,5,11.868
1978,6,9.709
1978,7,9.631
1978,8,7.579
1978,9,11.49
1978,10,11.381
1978,11,7.393
1978,12,7.348
1979,1,11.135
1979,2,12.976
1979,3,12.837
1979,4,12.702
1979,5,14.478
1979,6,14.306
1979,7,14.137
1979,8,12.134
1979,9,12.012
1979,10,13.694
1979,11,13.54
1979,12,15.174
1980,1,18.582
1980,2,16.517
1980,3,18.05
1980,4,12.666
1980,5,12.534
1980,6,12.404
1980,7,1.464
1980,8,9.074
1980,9,10.577
1980,10,12.062
1980,11,13.523
1980,12,11.81
1981,1,11.695
1981,2,11.582
1981,3,8.496
1981,4,6.986
1981,5,8.387
1981,6,11.243
1981,7,14.096
1981,8,9.577
1981,9,12.363
1981,10,3.936
1981,11,5.262
1981,12,3.906
1982,1,3.894
1982,2,3.881
1982,3,0
1982,4,3.868
1982,5,11.98
1982,6,14.667
1982,7,6.364
1982,8,2.49
1982,9,0
1982,10,5.025
1982,11,-1.216
1982,12,-3.612
1983,1,2.484
1983,2,1.233
1983,3,1.231
1983,4,8.907
1983,5,4.968
1983,6,2.446
1983,7,4.937
1983,8,3.667
1983,9,3.656
1983,10,4.887
1983,11,3.63
1983,12,3.62
1984,1,8.606
1984,2,6.037
1984,3,3.566
1984,4,4.766
1984,5,2.348
1984,6,2.344
1984,7,4.728
1984,8,3.514
1984,9,3.503
1984,10,4.682
1984,11,2.308
1984,12,2.303
1985,1,2.299
1985,2,7.028
1985,3,5.793
1985,4,2.27
1985,5,2.266
1985,6,3.41
1985,7,2.256
1985,8,2.251
1985,9,2.247
1985,10,4.532
1985,11,5.672
1985,12,5.646
1986,1,4.473
1986,2,-2.162
1986,3,-6.369
1986,4,-4.312
1986,5,3.363
1986,6,4.494
1986,7,1.102
1986,8,1.101
1986,9,4.469
1986,10,2.204
1986,11,2.2
1986,12,4.436
1987,1,6.695
1987,2,4.395
1987,3,4.379
1987,4,5.481
1987,5,3.242
1987,6,5.441
1987,7,3.218
1987,8,5.402
1987,9,4.281
1987,10,3.184
1987,11,4.255
1987,12,2.1
1988,1,4.232
1988,2,2.089
1988,3,3.142
1988,4,7.453
1988,5,3.115
1988,6,5.228
1988,7,5.205
1988,8,5.182
1988,9,5.16
1988,10,4.092
1988,11,4.078
1988,12,4.064
1989,1,5.086
1989,2,4.033
1989,3,6.084
1989,4,9.205
1989,5,6.008
1989,6,3.95
1989,7,3.937
1989,8,0
1989,9,2.93
1989,10,5.924
1989,11,4.891
1989,12,3.88
1990,1,12.017
1990,2,4.809
1990,3,5.772
1990,4,2.836
1990,5,1.878
1990,6,7.695
1990,7,5.686
1990,8,10.597
1990,9,8.523
1990,10,8.462
1990,11,2.732
1990,12,4.581
1991,1,4.564
1991,2,0.895
1991,3,0
1991,4,2.704
1991,5,4.533
1991,6,3.598
1991,7,1.779
1991,8,3.582
1991,9,3.571
1991,10,1.766
1991,11,5.376
1991,12,3.539
1992,1,0.872
1992,2,2.634
1992,3,4.416
1992,4,2.619
1992,5,2.613
1992,6,3.491
1992,7,3.48
1992,8,2.593
1992,9,2.587
1992,10,5.224
1992,11,3.441
1992,12,1.702
1993,1,4.299
1993,2,2.55
1993,3,1.69
1993,4,4.268
1993,5,3.39
1993,6,0.835
1993,7,1.676
1993,8,2.52
1993,9,1.67
1993,10,5.08
1993,11,3.347
1993,12,2.494
1994,1,0
1994,2,3.331
1994,3,3.322
1994,4,0.819
1994,5,2.473
1994,6,3.303
1994,7,4.133
1994,8,4.961
1994,9,2.443
1994,10,0.807
1994,11,3.261
1994,12,2.43
1995,1,3.245
1995,2,3.236
1995,3,2.412
1995,4,4.867
1995,5,2.397
1995,6,2.393
1995,7,1.586
1995,8,2.385
1995,9,1.581
1995,10,3.181
1995,11,1.575
1995,12,1.573
1996,1,6.419
1996,2,2.352
1996,3,3.94
1996,4,4.73
1996,5,2.331
1996,6,2.326
1996,7,2.322
1996,8,1.539
1996,9,3.884
1996,10,3.872
1996,11,3.859
1996,12,3.067
1997,1,2.286
1997,2,2.282
1997,3,0.754
1997,4,0.754
1997,5,0
1997,6,2.275
1997,7,1.508
1997,8,3.034
1997,9,3.026
1997,10,2.256
1997,11,1.496
1997,12,0.745
1998,1,1.493
1998,2,0
1998,3,0
1998,4,1.492
1998,5,3
1998,6,1.486
1998,7,2.989
1998,8,1.481
1998,9,0.737
1998,10,2.976
1998,11,1.474
1998,12,2.216
1999,1,2.212
1999,2,0
1999,3,0.731
1999,4,8.31
1999,5,0.726
1999,6,0
1999,7,5.179
1999,8,2.918
1999,9,5.144
1999,10,2.167
1999,11,2.163
1999,12,2.888
2000,1,3.613
2000,2,5.076
2000,3,7.292
2000,4,-0.7
2000,5,2.127
2000,6,7.239
2000,7,3.541
2000,8,0
2000,9,6.436
2000,10,2.094
2000,11,2.09
2000,12,2.791
2001,1,7.094
2001,2,2.768
2001,3,0.684
2001,4,2.064
2001,5,6.297
2001,6,2.741
2001,7,-2.007
2001,8,0
2001,9,4.839
2001,10,-3.317
2001,11,-0.674
2001,12,-0.674
2002,1,2.048
2002,2,2.045
2002,3,3.423
2002,4,5.513
2002,5,1.347
2002,6,0.671
2002,7,2.706
2002,8,3.385
2002,9,2.013
2002,10,2.687
2002,11,2.005
2002,12,2.002
2003,1,5.41
2003,2,6.773
2003,3,1.979
2003,4,-4.473
2003,5,-1.947
2003,6,1.32
2003,7,4.004
2003,8,5.353
2003,9,3.973
2003,10,-1.289
2003,11,0.651
2003,12,3.292
2004,1,5.3
2004,2,2.607
2004,3,2.601
2004,4,1.941
2004,5,5.245
2004,6,4.556
2004,7,1.278
2004,8,0.636
2004,9,3.873
2004,10,6.509
2004,11,5.81
2004,12,0
2005,1,-0.624
2005,2,5.127
2005,3,4.454
2005,4,3.793
2005,5,-0.618
2005,6,0.622
2005,7,7.693
2005,8,7.644
2005,9,17.833
2005,10,1.826
2005,11,-5.863
2005,12,0
2006,1,7.516
2006,2,0.604
2006,3,1.82
2006,4,6.177
2006,5,3.647
2006,6,3.022
2006,7,6.741
2006,8,5.455
2006,9,-5.732
2006,10,-5.197
2006,11,0.596
2006,12,6.734
2007,1,2.027
2007,2,4.761
2007,3,6.409
2007,4,3.625
2007,5,5.129
2007,6,2.762
2007,7,2.164
2007,8,0.405
2007,9,5.205
2007,10,3.745
2007,11,9.824
2007,12,3.587
2008,1,4.163
2008,2,2.981
2008,3,4.373
2008,4,2.79
2008,5,7.361
2008,6,13.293
2008,7,8.956
2008,8,-1.793
2008,9,1.048
2008,10,-9.834
2008,11,-19.331
2008,12,-9.419
2009,1,3.05
2009,2,4.507
2009,3,-1.178
2009,4,1.192
2009,5,1.763
2009,6,10.439
2009,7,-0.335
2009,8,4.099
2009,9,2.308
2009,10,3.674
2009,11,4.064
2009,12,0.665
2010,1,0.776
2010,2,-1.153
2010,3,0.387
2010,4,0.276
2010,5,-0.605
2010,6,-0.496
2010,7,2.289
2010,8,1.723
2010,9,2
2010,10,4.259
2010,11,3.055
2010,12,4.916
2011,1,3.99
2011,2,3.921
2011,3,6.399
2011,4,5.741
2011,5,3.924
2011,6,0
2011,7,3.195
2011,8,3.846
2011,9,2.632
2011,10,0.797
2011,11,2.245
2011,12,0.264
2012,1,3.324
2012,2,2.612
2012,3,2.552
2012,4,2.011
2012,5,-2.484
2012,6,-0.992
2012,7,0.368
2012,8,7.21
2012,9,5.895
2012,10,3.268
2012,11,-2.002
2012,12,-0.156
2013,1,2.414
2013,2,6.725
2013,3,-3.348
2013,4,-2.452
2013,5,0.467
2013,6,2.937
2013,7,2.348
2013,8,2.924
2013,9,0.412
2013,10,0.67
2013,11,2.231
2013,12,3.225
2014,1,3.269
2014,2,0.87
2014,3,2.265
2014,4,2.573
2014,5,2.101
2014,6,1.633
2014,7,1.528
2014,8,-0.252
2014,9,0.051
2014,10,0
2014,11,-2.052
2014,12,-3.829
2015,1,-7.026
2015,2,2.22
2015,3,3.577
2015,4,1.073
2015,5,4.036
2015,6,3.446
2015,7,1.885
2015,8,0
2015,9,-2.591
2015,10,1.475
2015,11,1.576
2015,12,-1.203
2016,1,0.81
2016,2,-2.295
2016,3,2.504
2016,4,4.213
2016,5,3.057
2016,6,3.203
2016,7,-0.05
2016,8,2.579
2016,9,2.268
2016,10,3.285
2016,11,2.055
2016,12,3.526
2017,1,6.356
2017,2,0.345
2017,3,-1.852
2017,4,1.837
2017,5,-0.881
2017,6,0.592
2017,7,1.038
2017,8,5.128
2017,9,5.671
2017,10,0.929
2017,11,4.115
2017,12,2.452
2018,1,6.683
2018,2,1.796
2018,3,-0.766
2018,4,2.678
2018,5,2.574
2018,6,1.544
2018,7,2.076
2018,8,2.707
2018,9,0.669
2018,10,4.074